station_id,Longitude,Latitude,type
dongsi_aq,116.417,39.929,城区
tiantan_aq,116.407,39.886,城区
guanyuan_aq,116.339,39.929,城区
wanshouxigong_aq,116.352,39.878,城区
aotizhongxin_aq,116.397,39.982,城区
nongzhanguan_aq,116.461,39.937,城区
wanliu_aq,116.287,39.987,城区
beibuxinqu_aq,116.174,40.09,城区
zhiwuyuan_aq,116.207,40.002,城区
fengtaihuayuan_aq,116.279,39.863,城区
yungang_aq,116.146,39.824,城区
gucheng_aq,116.184,39.914,城区
fangshan_aq,116.136,39.742,郊区
daxing_aq,116.404,39.718,郊区
yizhuang_aq,116.506,39.795,郊区
tongzhou_aq,116.663,39.886,郊区
shunyi_aq,116.655,40.127,郊区
pingchang_aq,116.23,40.217,郊区
mentougou_aq,116.106,39.937,郊区
pinggu_aq,117.1,40.143,郊区
huairou_aq,116.628,40.328,郊区
miyun_aq,116.832,40.37,郊区
yanqin_aq,115.972,40.453,郊区
dingling_aq,116.22,40.292,对照点及区域点
badaling_aq,115.988,40.365,对照点及区域点
miyunshuiku_aq,116.911,40.499,对照点及区域点
donggaocun_aq,117.12,40.1,对照点及区域点
yongledian_aq,116.783,39.712,对照点及区域点
yufa_aq,116.3,39.52,对照点及区域点
liulihe_aq,116,39.58,对照点及区域点
qianmen_aq,116.395,39.899,交通污染监控点
yongdingmennei_aq,116.394,39.876,交通污染监控点
xizhimenbei_aq,116.349,39.954,交通污染监控点
nansanhuan_aq,116.368,39.856,交通污染监控点
dongsihuan_aq,116.483,39.939,交通污染监控点
